movie,sentence,score
헤어질 결심,궁금증과 긴장감을 가지고 몰입해서 보게 되는 영화. 특히 박해일이 탕웨이와 취조실에서 초밥을 먹고 치우는 장면이 인상 깊음. 취조실이 아니라 여느 커플의 모습을 보는 것 처럼.,9
원샷,기대없이 봤는데 끝까지 보게 되네요속편 나와 줬음 합니다액션과 현장감이 압권이었습니다,10
레지던트 이블: 라쿤시티,최악의 시나리오와 연출...,2
마녀(魔女) Part2. The Other One,참을성 없는 사람에겐 노잼일 영화서사를 푸는 부분 때문에 초반부 지루할 수도속편이나 비기너로 알리구 제작했음 좋았을 스토리하지만 후반무 몰아치고 cg도 괜찮은 수준3편 빨리 나오길 기대함.,8
살인소설,평점 줄수가없음그냥보세요,1
토르: 러브 앤 썬더,"안녕 토르. 토르 5편은 디즈니플러스에서 보자.재미도, 연출도, 감동도 하나도 없다.탑건 3번 보는게 훨씬 낫네요.",2
더 킬러: 죽어도 되는 아이,장혁 배우의 탄산음료보다 더 시원하게 터지는 액션!,10
헤어질 결심,스스로를 미결 사건으로 만들고 싶은 사랑,10
탑건: 매버릭,액션 전투 이런거에 흥미 1도 없었는데 너무 재밌게 보고옴,10
엘비스,영화관에서 보는걸 추천합니다. 영화가 진짜 화려함. 포스터보다도 더,8
그레이 맨,"여름엔 때려부숴야 제맛, 크리스에반스 연기 잘하네 넘 얄미워",10
토르: 러브 앤 썬더,아쉽다. 만오천원 정가내고 보기에는... 재미가 아예없는것은 아닌데,6
마녀(魔女) Part2. The Other One,재미 없다고 얘기들어서 기대 안하고 봤는데 너무 재밌었음,10
토르: 러브 앤 썬더,토르가 이렇게나 강햇나,10
엘비스,망작입니다.,1
큐어,관객도 최면에 걸리는 영화,7
범죄도시2,"1편 윤계상보고 미친 연기랬는데,손석구 역시 또다른 느낌의 OOO기네",10
탑건: 매버릭,살다가 리뷰 처음 답니다.가슴이 웅장해지네요.최고네요,10
로스트 도터,의외의 서스펜스를 만났을 때의 즐거움.,6
탑건: 매버릭,최고의 인생 영화!톰아저씨 진짜 넘사벽 세계 최고의 배우!,10
탑건: 매버릭,1분 1초가 낭만이었다,10
탑건: 매버릭,3번 관람했음.ㅋㅋ 매일 관객수 확인해본다. 15~25만씩  꾸준히 오르더라. 금요일에 486만에서 토요일에 517만되서 오 30만 올랐네 이젠 좀 끝물이니 15~20만씩 오르려나? 하고 다음날 일요일 7월17일에 보니까 556만.. 오늘은 577만.. 계속 매일20~30만씩 오르네  끈질기다 ㅋㅋㅋ 계속 상승  가즈아아아,10
범죄도시2,마동석의 화끈한 타격감이 느껴지는 영화! 한국판 히어로물이라고 생각하시면 될듯 하네요^^,9
브로커,정말 재밌어요전 1시간 20분까진 버텼어요,10
그레이 맨,내용은 별거 없는데 액션이 너무 잘뽑힘!!,7
범죄도시2,"마동석 귀여워요. 쫄보는 무서워서 못봅니다,,,",10
씨 비스트,PC에 절여지다 못해 범벅된 영화다이정도면 애들한테 다양성을 가르치려는 것이 아니라 거의 주입하는게 아닐까 싶을정도로 심하다엔딩마저 진부한 영화이다,1
탑건: 매버릭,그래 이런게 극장영화지,10
탑건: 매버릭,처음으로 외국영화 2번봄 최고다.,10
탑건: 매버릭,영화가 나를 삼켜버린,10
탑건: 매버릭,와 보길잘했어요 ㄹㅇ 재밌음,10
판타스틱 썸머,점점 갈수록 여주인공이 마음아파하는 모습을 보고 마음이 아파졌다. 그리고 나는 여주인공이 할머니 장례식장에서 모든걸 다 얘기하는 모습을보고 왠지모를 속시원함과 모든게 정리된듯한 느낌이 들었다. 스토리를 계속 보는동안 지루한 장면이 별로 없어서 좋기도했다.,10
더 킬러: 죽어도 되는 아이,빵점은 못주게되있나보네요처음엔 아저씨 + 중간은 신세계 + 그다음 테이큰ㅋ그것도 억지스럽게 다 짜넣었어요보는 내내 어이없어서 웃음만 나오네요 ㅋ아웃겨라,1
탑건: 매버릭,최고입니다 너무 재밌게 잘 봤어요!!스케일이 다르네요..ㅎㅎ,10
헤어질 결심,.,8
탑건: 매버릭,"생애 처음으로 영화 두번 보게 만든 '명작'이자, 연출, 연기, 스토리, 영상미, OST까지 뭐하나 빠질 것 없는 '명작'",10
헤어질 결심,헤어질 결심을 하고도 절대 헤어질 수 없는 해준과 서래 같은 영화. 이 영화에 붕괴됐어요,9
엘비스,엘비스 배우 연기 너무 좋았어요~,10
탑건: 매버릭,하...탑건2보고나서 탑건1보고 탑건2한번더 보고왔습니다.... 아이맥스가서 또보고싶네요....연출이며 연기며...특히 탐크루즈 눈빛연기가 감동적이었고 세련된 ost에 해변씬 너무좋았어요,10
바람,몇 번을 봤는지 ㅎㅎㅎㅎ  볼때마다 참 잘 만들었다는 생각이 든다.,10
헤어질 결심,가벼운 듯 무겁고 무거운 듯 가벼운 영화였습니다.,8
헤어질 결심,품위있는 그 놈이 알려준 '붕괴'라는 사랑,9
마녀(魔女) Part2. The Other One,슈퍼맨 하고 싸워도 안밀리고  스파이더 배트맨 은 껌이네,3
탑건: 매버릭,평점 처음남깁니다 꿀잼입니다,10
마녀(魔女) Part2. The Other One,댓글 알바들 개많네 ㅋㅋ진짜 재미 OOO 없고지루하기만 했음중간 중간 고구마 장면 너무 많고액션으로 어떻게든 무마 시킬려고 하는거 같은데액션씬만 재밌고 나머지는 지루함 ㅇㅇ,2
탑건: 매버릭,진짜 재밌게 잘 봤네요 :),10
토르: 러브 앤 썬더,토르3가 워낙 잘되서 많은 기대가 있었겠지만 3만큼의 재미는 안나오는듯 가오갤도 나오고 기대했지만 짧아서 많이 아쉬움,10
패밀리 맨,옛날 감성을 받아들일 마음으로 봐야 재밌을 것,1
탑건: 매버릭,아들딸이 컸을때 꼭 추천하고픈 걸작,10
탑건: 매버릭,아이맥스로 1회차 4dx로 2회차 보고왔는데요 상영관 다 내려가기 전에 꼭 영화관에서 보시길 추천드립니다… 특수상영관 예매가 어렵다면 2d라도요…나중에 ott에서 처음 본다면 뭔가 아쉬울 것 같아요.,10
탑건: 매버릭,"최고의 영화, 최고의 배우. 두번 봤어요... ^^모든 분들께 추천드립니다.",10
엘비스,엘비스에대해 많이 알수있어서 재미있었습니다! 화면에 기교를 과하게 부린듯,8
헤어질 결심,여운이 많이 남는.. 하지만 현실은 '내로남불',9
탑건: 매버릭,말이 필요없음! 최고 탑건 정말 명작입니다. 너무 재밌었어요! 또 보고 싶어요!!!!,10
브로커,낙태와버림를  생각하게 만드는 영화,8
남한산성,The best impressive point of this movie is the actors' acting on development of arguments. The actors' tone played a large role of it. The scene of debate of Myeong-gil and Sang-heon has raged more and more as time passes. I think that the scene made me iimmersed in the movie.,9
탑건: 매버릭,진짜 가슴이 웅장해지는 영화에요ㅠㅠ 오랜만에 여운이 오래 남네요.,10
탑건: 매버릭,간만에 극장에서 볼  제대로 된 미국영화가 나왔네요.코로나 특수에 기대어 1편 짜집기한 범죄도시2 보고 진짜 화났는데 힐링이 되었습니다.,10
토르: 러브 앤 썬더,기대 안하고 봤는데 개인적으로는 최고였습니다! 별 만점,10
탑건: 매버릭,말이 필요없음. 완전 재미있음.,10
빠담풍,전무송도 은근히 깨는 영화 많이 찍어. 어이없는 스토리.,2
엘비스,엘비스 프레슬리.. 노래 다 틀고 갔다...,10
명탐정 코난: 할로윈의 신부,진짜 재밌었어요!!!마지막 타카기형사 ㅋㅋㅋ앜 훈련하는거 왜이리웃었는지ㅋㅋㅋ,10
명탐정 코난: 할로윈의 신부,폭탄 소재의 영화인데 추리물로 잘 틀었다고 봄,10
토르: 러브 앤 썬더,정말재밌게 잘봤어요 ㅋㅋ 진짜 연출력연기 토리 영상미 다 좋아여 ㅋㅋ보고나서 진짜잘봤다싶어요 왜 평점이 낮은지 모르겟어여 ㅠㅠ 솔직히 탑건보단 한수위라고 생각합니다 둘다 본 사람으로써는 근데 영화빈 너무 비싸열 ㄷㄷ 아이맥스관에서 너무재미나게봣어요 !!,10
탑건: 매버릭,톰 형님 평생팬해야지ㅜㅜ,10
헤어질 결심,잘 만들어진 작품의 기준이라고 생각됩니다. 추천하고 싶어요.,10
그레이 맨,라이언고슬링 멋지다bbb크리스에반스 캡틴아 역할만 보다가 악역 처음 봤는데 진짜 나쁜놈..,10
탑건: 매버릭,큰기대없이 봤는데 재밌게 봤습니다,9
탑건: 매버릭,토르안보고 이거보는게 맞았다,10
탑건: 매버릭,공군사관학교 진학 마려운 영화.,10
마녀(魔女) Part2. The Other One,흡입력 없음 기대하고 보면 실망함전편에 비해 재미 없음계속 뭔가 어설프고 짜임이 없음,3
토르: 러브 앤 썬더,이제는 마블 탈덕을 할 때인가 보다.,4
블랙 앤 블루,잘 만든 영화( *oωo)b,10
탑건: 매버릭,리뷰 첨 남긴다 말이 필요 없다,10
남한산성,"If it was the conversation between common people, it might be just a childish and repetitive argument. However, since Joseon's survival depended on their argument whether Joseon should surrender from the Qing, it was very desperate and extremely sad.",6
이터널스,이도저도 아닌 영화. 최대문제는 캐릭터들이 심각하게 매력이 없음. 어김없이 스며들어있는 PC는 여전하고 히로시마 등장땐 어이없음까지. 마블 광팬인데도 불구하고 마지막에 이터널스는 다시 돌아온다 라는 문구 나올때 제발 다시 오지 말라고 빌 정도. 평점이 6.4인건 다 이유가 있다,5
탑건: 매버릭,최고에요.. 다른말이 필요 없어요 무조건 영화관에서 봐야해요,10
주(咒),저주를 떠안게 되는 느낌이여서 사람들이 기분나빠서 평점 낮게주는거임 ㅋㅋ 곤지암보다도 무서웠고 재밌었음 우리나라 공포영화보다는 훨배 무서움,10
토르: 러브 앤 썬더,재밌게 잘 보았습니다.,10
헤어질 결심,정말 잘 만들어진 그래서 빠져서 헤어나오지 못하게 만든 영화,10
탑건: 매버릭,재미있게봤어요. 재미있게봤어요.,10
탑건: 매버릭,토르말고 이거 보길 잘했네요 재밌어요!!!,10
명탐정 코난: 할로윈의 신부,오랜만에 볼 만한 극장판,10
헤어질 결심,이건 완벽한 로맨스 영화,10
스텔라,유치원에서 단체관람하면 호응이 있을까 시사회가서 본 사람들에게 심심한 위로를 표합니다.,1
토르: 러브 앤 썬더,라그나로크의 다운그레이드. 건즈 앤 로지스만 기억에 남는다.,5
남한산성,It expresses the surrender process of Joseon during the Manchu Invasion of Korea. The history of Joseon against foreign aggression is well expressed. I learned about the relationship between Joseon and Qing in hisorical perspectives. The Manchu Invasion of Korea had a great influence on Joseon and expressed it in an impressive way.,8
큐어,일본 특유의 분의기로 잔잔하면서 지루할수 있지만 그안에서 내적 갈등과 조임이 느껴지는 작품 참고로 최면술 역활배우가 잘생겼다,7
명탐정 코난: 할로윈의 신부,오랜만에 나오는 수작,10
노바디 ,역시 하드코어 헨리 감독 싹수가 보였어,8
부탁 하나만 들어줘,"신선한 소재 , 반전, 연기 다좋았고이게 실화라는게 놀라워요",10
헤어질 결심,....그치만 이런 행동이 아니면 오니짱 내게 관심도 없는걸!,4
실종,평 좋길래 봤더니생각보다 노잼,7
헤어질 결심,슬픔이 파도처럼 덮치는 사람이 있는가 하면 물에 잉크가 퍼지듯이 서서히 물드는 사람도 있듯이 사랑도 역시.,9
헤어질 결심,영화 엔딩크레딧 올라갈때 어두운 극장에 앉아서 흘러나오는 엔딩곡의 가사를 듣고있으면 영화가 완성됩니다. 마침내...,10
엘비스,"지역 라디오의 작은 무대에 서게 된 19살 엘비스는 어디서도 본 적 없는 몸짓과 퍼포먼스로 무대를 압도하고, 그에게 매료된 관객들에게 뜨거운 환호성을 받는다. 톰 파커는 엘비스에게 스타로 만들어주겠다고 약속하며 함께할 것을 제안한다. 자신이 자라난 동네에서 보고 들은 흑인음악을 접목시킨 독특한 음색과 리듬, 강렬한 퍼포먼스, 화려한 패션까지 그의 모든 것이 대중을 사로잡으며 엘비스는 단숨에 스타의 반열에 올라선다.",10
더 킬러: 죽어도 되는 아이,장혁의 엑션빼고 볼께 없음...,6
헤어질 결심,감독님이랑 작품을 하고 싶다는 꿈이 생겼습니다,10
시큐리티 스파이,그냥 3류 영화임.  많은걸 바라지 말자,4
멘,세습되는 가부장제에 관하여 직접적으로 표현한 영화. 감독이 직접 언급한 설명들을 보면 그간의 내용들이 다 이해가 가기 시작한다. 스크린적으로 다가오는 충격이 크지만 내용은 훌륭한 영화.,10
탑건: 매버릭,"아이맥스,돌비,4dx 순으로 3번 관람했지만 screenX 표를 찾아보게 하는 영화. 극장에서 보길 잘 했다는 생각이 드는 영화입니다.",10
탑건: 매버릭,아이맥스에서 보는 것을 추천,10
남한산성,The best impressive point of this movie is the actors' acts on development of argument. Tone played a large role of the acts.,9
메모리,리암니슨 알츠하이머 연기랑 액션이 볼만함. 스토리 전개랑 개연성은 조금 엉망….,7
탑건: 매버릭,두번 코가 찡해졌고 모든게 완벽한영화중 하나에요,10
남한산성,"Set in the background of Qing invasion of Joseon, when the Qing invaded Joseon, the movie depicts a situation where people are divided between the positions of making peace with the Qing and war with the Qing. The conflict is well portrayed, and the performances of Choi Myung-gil and Kim Sang-heon are impressive. It is surprising that the film depicts the frustrating situation at that time.",10
남한산성,The actors' performances were excellent. The debate between Myeong-gil and Sang-heon was impressive.,9
토르: 러브 앤 썬더,킹스맨 본다는 생각으로 뇌 빼고 보기 좋음  지금까지 나온 마블영화랑 결 이 좀 다르긴 함좀 유치하긴 해도 b급감성 좋아하면 시원시원하고 볼거리 많은 맛에 보기 좋음 ㅋㅋ,10
마녀(魔女) Part2. The Other One,휴...지루함. 언제 본론나오나 했는데 그러다가 끝나버림.너무한다. 그냥 16부작 드라마라고 생각하고 만든거죠?,4
만델라 이펙트,제목만 그럴싸하고 주인공이 뜬금없이 과학현상에 대해 빠져드는 과정에서부터 뭔가 이질감이 들더니만...,1
탑건: 매버릭,"그냥 너무 너무 꿀잼입니다,,,",10
탑건: 매버릭,모든 면에서 훌륭합니다. 재관람 예정.,10
탑건: 매버릭,근래 인생영화로 등재함,10
엘비스,보헤미안 랩소디의 다음타자로는 확실히 엘비스,7
더 킬러: 죽어도 되는 아이,진짜 너무 재밌는데 상영관 실화인가...토르 상영관 좀 떼줘도 괜찮을거같은데. 이번주 지나면 서울에서 하는데가 없음 ㅋㅋㅋㅋ 진짜,10
탑건: 매버릭,시작부분 전투기가 날아오르며 나오는 ost가 들리니 심장이 쿵쾅대기 시작했따!,10
토르: 러브 앤 썬더,"마블라는 이름의 기대감에 부족한 영화, 스토리도 별로, 너무 유치했어요. ㅡ.,ㅡ",5
마녀(魔女) Part2. The Other One,마녀특유 액션씬 잼났습니다한국에 이런장르도 있다고 알리고싶네요~Tv시리즈로도 나왔음 좋겠다!,8
헤어질 결심,영화관을 나서는 순간  나도 모르는 슬픔이 북받쳐오름,10
마녀(魔女) Part2. The Other One,마녀의 필수 조건 첫번째..존ㅇㅖ..,10
토르: 러브 앤 썬더,탑건봐 두번봐 세번봐탑건봐 두번세번네번탑건만봐 두번바세번바탑건봐 제발 두번세번,6
탑건: 매버릭,말이필요없어요 또보러갑니다,10
마녀(魔女) Part2. The Other One,아니 왜 재미가 없다는거지?? 1편에 이어 2편도 존잼.... 3편 기다릴려니 벌써힘들어요ㅠㅠ,10
탑건: 매버릭,정말 멋지고 재밌었습니다,10
그레이 맨,얌생이수염+백바지 변태아메리카ㅋㅋㅋ너무 찰떡이고~ 라이언 고슬밥 개멋있고~,10
탑건: 매버릭,연출 배우 연기 대본 액션 노래 모든것이 완벽했다,10
분노의 윤리학,그냥 그저 그래요고성희...이쁘네요,8
"무현, 두 도시 이야기",예아 안 될거 뭐있노? 지금 바로 갑니다,2
탑건: 매버릭,4dx로 보세요…기가막힙니다 돈이안아깝습니다,10
탑건: 매버릭,"꼭 영화관에서 보세요. 2d라도요. 물론 보고나면 4d로 보고싶어지긴 하지만요.정말, 재밌습니다.",10
헤어질 결심,"내 취향 영화(디즈니, 지브리 등 애니메이션, 해피엔딩 선호)는 아니었는데 아닌 것들 중 가장 좋은 영화라 느껴졌다 영화가 끝난 후 함께 본 사람과 끊임 없이 그 영화에 대한 이야기를 했던 건 처음이었다박해일과 탕웨이가 보인 서로에 대한 조심스러운 감정선이 답답하게 느껴지면서도 이후엔 오히려 좋게 다가왔다 막 자극적인 씬도 없었고,,, 상업적인 목적의 영화였다면 두 사람이 침대에 누워 밤을 보내는 장면이 나왔겠지,,,두 남녀가 보인 모습을 순수하지 않다고 말할 수 있을까?한 번으로는 부족했고 두 번, 세 번은 더 보고 싶은 그런 영화! 꼭 극장에서 보고 싶다",10
캡틴 아메리카: 시빌 워,역시 가장 큰 장점은 액션과 캐릭터.,8
시라노,남자들의 로맨스에 희생당한 록산,7
토르: 러브 앤 썬더,영상미 말고는 별롭니다,7
명탐정 코난: 할로윈의 신부,쿠키 영상 2개 있습니다... 둘 다 꼭 보세요 안 보면 후회합니다,10
탑건: 매버릭,탑건은 아이맥스로 보세요. 진짜 최곱니다.,10
명탐정 코난: 할로윈의 신부,코난은 스토리 다 꿀잼,10
탑건: 매버릭,고민하지말고 시간없어도 어떠게든 극장으로 달려가시길 무조건 봐야돼는 영화 4dx로 꼭,10
랑종,업보는 참으로 무서워. 반종에 의한 공포요소의 비빔밥화,5
탑건: 매버릭,4d 2d로봤는데 돈이안아까움 또보고싶네 강추4d2d를위한 영화 ??,10
마녀(魔女) Part2. The Other One,난 마녀 1보다 2가 액션이 더 재밋었음,10
마녀(魔女) Part2. The Other One,1보다 재미없음,4
탑건: 매버릭,4DX로 보세요 꼭! 어쩌면 뻔한 결말이지만 그걸 뛰어넘게 재밌다,10
밀정,원전영화를 보고 가동중단한 문재인 대통령님처럼  역사를 영화로 배운 사람들때문에 나라가 성장을 못한다고 생각한다.,1
케이브,TV에서 하길래 디센트라 생각하고 보면서 왜이렇게 안무섭지?ㅋㅋ 하지만 배경도 배우들도 멋지고 많이 공포스럽지않아서 예전에도 지금도 잼나게 본 영화. 근데 밑밥은 깔았는데 2는  제작을 못했나보군요,10
익스트랙션,액션영화로는 굿…하지만,8
명탐정 코난: 할로윈의 신부,경찰동기조가 거의 다 해먹긴 했지만 그게 맘에 들었다,10
탑건: 매버릭,포디로 봐서 더 재밌었다 강추,10
엘비스,연기 영상미 모두 정말 훌륭했어요,10
토르: 러브 앤 썬더,그...냥 안본걸로 할게요... ㅎㅎ 유치했사옵니다...,10
토르: 러브 앤 썬더,1점 주기도 아까움.. 내용 전개도 엉망임.. 마블이 어쩌다 이런 B급보다 못한 C급 같은 영화를 만들게 된걸까 대실망함.. 괜히 봤어 돈아까워ㅠ,2
탑건: 매버릭,탑건 헌정 영상입니다 탑건 1도 함께 보세요,9
탑건: 매버릭,모든게 완벽하게 맞아떨어졌음. 일단 술집에서 수다떠는 장면 조차도 집중하게 만들었던 연출력 ㄷㄷ 대사 하나하나 남는건 아니지만 거기에 푹 빠져서 보느라 지루할 틈 無,10
녹터널 애니멀스,가진게 없을 땐 현실이 보이고 다 가지고나니 마음이 허하고..,7
탑건: 매버릭,지.렸.다 진짜...,10
더 킬러: 죽어도 되는 아이,졸잼 무조건 보시길~    장혁이 진먼목~,10
마녀(魔女) Part2. The Other One,굳이 두 개의 영화로 세계관까지 구축해야 할 이야기인가 싶다. 다음 이야기가 궁금하지가 않아서.,5
탑건: 매버릭,좋았다 좋은 영화 봐서 눈이 즐겁다.,8
명탐정 코난: 할로윈의 신부,한동안 코난 휴덕 했었는데 이번 극장판 아무로 보고 머리 깨져서 다시 돌아왔습니다^^ 이번 극장판 쿠키영상도 대박이니까 마지막까지 꼭 보세요!!!,10
특수요원 빼꼼,중국 자본들어가면 성한게 없네,3
아비정전,첨 개봉당시. 영상미가 참 인상적이였던 기억이. 그러나 돈 돌려달라는 관객들의 아우성이 들려오기도..,8
감동주의보,아기자기한 농촌 러브스토리..,5
"나니아 연대기 - 사자, 마녀 그리고 옷장",오래전 영화같지않게 너무 고급지고 스토리가 진짜 재밌어요,10
탑건: 매버릭,돌비로 봤는데 좋아서 4dx도 봤는데 더 좋아졌다.,10
탑건: 매버릭,영화를 안 본 사람은 있어도 한 번만 본 사람은 없는 레전드 영화,10
헤어질 결심,무겁고 축축한 분위기 영상미는 좋았다. 그마저도 김신영 콩트연기가 나오면서 몰입도가 깨진다.,2
더 킬러: 죽어도 되는 아이,서든어택관전했습니다.,6
블랙 앤 블루,아무런 뻥이 없아 사실적으로 스토리도 훌륭합니다.,10
블랙 앤 블루,흑인 남여배우 주연 재밌어요,10
잭 리처: 네버 고 백,잭리처 1편이 재미있어 2편까지 연달아 봤는데 1편보다 확실히 몰입력이 떨어지네요ㅠㅠ,6
엘비스,"신이 주신 재능은 파멸을 동반한다. 당초 버즈 루어만의 음악영화에 대해서 그다지 좋은 기억이 없었기에 별 기대는 하지않았지만 그래도 엘비스에 대한 작품이라 간절히 관람하고 싶었다. 재능이란 마치 바지속의 송곳처럼 언젠간 바지주머니를 뚫고 나오기 마련인가 보다. 그리고 만일 그 재능이 신이 선물이라면 신은 공평함도 함께 부여했다는 생각이 영화를 보는 내내 들었다. 그 공평함이란 자기 파멸이다. 일반적인 시각으로 볼때 엘비스 아론 프레슬리는 평범함을 넘어 너무도 모범적인 사람이었다고 본다. 팝가수이자 대중스타이면서도 가스펠을 무려 40곡이나 작곡했을 만큼 독실한 크리스찬이자 술과 담배는 입에 대지도 않았으며 간난한 자들과 사회적으로 소외된 자들, 특히 흑인들에게 많은 자선을 하고 기부금을 냈었다는 후일담을 고려하면 말이다. 실제로 그는 공연 때 가스펠을 반드시 레퍼토리에 넣었다고 한다. 그리고 그가 마지막 무대에서 마지막으로 부른 곡은 그 유명한 라이처스 브라더스의 unchained melody 다. 그의 사인에 대해선 참 말도 많고 여러 설이 있다. 그런데 독실한 크리스천이고 모범적이고 사회공익적인 일도 많이 한 이가 약물중독에의한 심장마비로 사망했다는 것은 누가 봐도 설득력이 떨어진다. 그런 의혹을 뒤로 하고 영화적으로 이영화를 본다면 재미, 오락, 작품성 세마리 토끼를 모두 잡았고 이는 루즈 비어만 감독의 최고작이 아닌가 하는 생각이 든다. 비어만의 전작들은 음악, 뮤지컬 작품으로는 꽤 작품성을 인정 받을만 하지만 좀 더 세세하게 따져 본다면 뭔가 2% 부족한 듯한 느낌이 있었다. 즉 스토리의 풍부함의 결여다. 그런데 영화 엘비스는 완벽에 가까운 작품이라고 생각한다. 2시간 40분이지만 지루하기는 커녕 눈을 한시도 스크린에서 땔 수가 없게 한다. 음악, 뮤지컬 영화로 이렇게 몰입감을 선사한 것은 라라랜드 이후 처음이 아닌가 하는 생각이다. 특히 오스틴 버틀러의 신의 경지의 연기는 단연코 압권이며 영화를 가장 돋보이게 하는데 결정적.",10
더 킬러: 죽어도 되는 아이,잔인하지만 통쾌한액션,7
큐어,쿠니오 연기력이 조금만 더 좋았다면 나는 이 영화의 최면에서 영영 헤어나오지 못했을 수도 있을 것 같다.,9
콜래트럴,단순히 킬러 영화인줄 알고 안봤는데 생각보다 영화가 참 좋았다. 톰크루즈의 회색염색도 너무 멋있다,10
탑건: 매버릭,완벽한 영화 그 이상의 수식어도 필요 없을것 같네요,10
캅샵: 미친놈들의 전쟁,초반은 좀 지루한데 중반부터 이야기 풀어나가면서부터 재밌어짐. 둘 중 누구를 믿어야하는가 ㅎㅎ,10
헤어질 결심,파도가 잔잔히 치는 걸 보다가 집에 돌아가려고 일어나보니까 이미 잠식되어 잠겨있는. 그런 영화.,10
잭 리처,"잭리처 1,2편 연달아 봤어요. 대사나 스토리가 조금 유치하고 중반까지 여주인공의 답답스러움이 살짝 있지만 몰입력있는 스토리 구성과 연출 덕분에 재밌게 봤습니당!",10
헤어질 결심,"마침내. 사랑을 위해, 나를 내던지는 사랑은 얼마나 깊은 것인지.",10
쥬라기 월드: 도미니언,스토리 연출 그래픽 전부 엉성해서 몰입하기 힘드네요 쥬라기 시리즈줄 제일 최악인듯,1
탑건: 매버릭,인생 명화 20년뒤에 신서유기 시즌 30에서 퀴즈로나올만한 영화,10
이상한 나라의 수학자,보람이 증명안해? 나가라 걍,1
헤어질 결심,살려내.. 영화보고 내 멘탈 무너짐,10
탑건: 매버릭,오랜만에 본 감동적이고 시원한 영화!,10
헤어질 결심,"품위있는 어른들의 멜로,",10
아웃로 킹,넷플은 시대극 작품 잘 만들더라구요. 확실히 재미남. 영상미와 브금은 말할 것도 없고요.,10
